q_A^-1,E_v_eV,E_c1_eV,E_c2_eV,E_c3_eV
-1.338000000000000023e-01,-2.665564187146644004e-01,3.240145023715868683e-02,4.635308175396220948e-02,4.635308175396220948e-02
-1.335000000000000075e-01,-2.652280601659565695e-01,3.234590069784908789e-02,4.623503898292932041e-02,4.623503898292930653e-02
-1.331999999999999851e-01,-2.639026833423859797e-01,3.229047584886341610e-02,4.611726117883475223e-02,4.611726117883474529e-02
-1.328999999999999904e-01,-2.625802882439529640e-01,3.223517569020166451e-02,4.599974834167854659e-02,4.599974834167853271e-02
-1.325999999999999956e-01,-2.612608748706574113e-01,3.218000022186385395e-02,4.588250047146068267e-02,4.588250047146067573e-02
-1.323000000000000009e-01,-2.599444432224992108e-01,3.212494944384996359e-02,4.576551756818116740e-02,4.576551756818115352e-02
-1.320000000000000062e-01,-2.586309932994782512e-01,3.207002335616000038e-02,4.564879963183999384e-02,4.564879963183998690e-02
-1.316999999999999837e-01,-2.573205251015946438e-01,3.201522195879395738e-02,4.553234666243715506e-02,4.553234666243714812e-02
-1.313999999999999890e-01,-2.560130386288486104e-01,3.196054525175184846e-02,4.541615865997267881e-02,4.541615865997267187e-02
-1.310999999999999943e-01,-2.547085338812399291e-01,3.190599323503366669e-02,4.530023562444655122e-02,4.530023562444653734e-02
-1.307999999999999996e-01,-2.534070108587687109e-01,3.185156590863941900e-02,4.518457755585875840e-02,4.518457755585875146e-02
-1.305000000000000049e-01,-2.521084695614347337e-01,3.179726327256909152e-02,4.506918445420931424e-02,4.506918445420930730e-02
-1.301999999999999824e-01,-2.508129099892381086e-01,3.174308532682268424e-02,4.495405631949820485e-02,4.495405631949819791e-02
-1.298999999999999877e-01,-2.495203321421790854e-01,3.168903207140021105e-02,4.483919315172545800e-02,4.483919315172543718e-02
-1.295999999999999930e-01,-2.482307360202573310e-01,3.163510350630167195e-02,4.472459495089104592e-02,4.472459495089103204e-02
-1.292999999999999983e-01,-2.469441216234730396e-01,3.158129963152705305e-02,4.461026171699498249e-02,4.461026171699497556e-02
-1.290000000000000036e-01,-2.456604889518260448e-01,3.152762044707636130e-02,4.449619345003726772e-02,4.449619345003726079e-02
-1.286999999999999811e-01,-2.443798380053164021e-01,3.147406595294959669e-02,4.438239015001788773e-02,4.438239015001787385e-02
-1.284000000000000141e-01,-2.431021687839444445e-01,3.142063614914675923e-02,4.426885181693687027e-02,4.426885181693687027e-02
-1.280999999999999917e-01,-2.418274812877095059e-01,3.136733103566784892e-02,4.415557845079418758e-02,4.415557845079417371e-02
