u,kx_A^-1,ky_A^-1,E_v_eV,E_c1_periodic_chart_eV
-1.071250000000000036e+00,9.506867599316570772e-01,5.488792567615553564e-01,-1.993221502638603226e+01,2.369285234676669905e-02
-1.070000000000000062e+00,9.495774404918301270e-01,5.482387908843540103e-01,-1.988565594013198279e+01,2.356441519220078135e-02
-1.068750000000000089e+00,9.484681210520032879e-01,5.475983250071526642e-01,-1.983915121358167610e+01,2.343825126160949818e-02
-1.067500000000000115e+00,9.473588016121764488e-01,5.469578591299514292e-01,-1.979270084673511576e+01,2.331436055499283566e-02
-1.066250000000000142e+00,9.462494821723494987e-01,5.463173932527500831e-01,-1.974630483959229110e+01,2.319274307235077992e-02
-1.064999999999999947e+00,9.451401627325224375e-01,5.456769273755486260e-01,-1.969996319215319502e+01,2.307339881368332402e-02
-1.063749999999999973e+00,9.440308432926955984e-01,5.450364614983472800e-01,-1.965367590441785595e+01,2.295632777899050958e-02
-1.062500000000000000e+00,9.429215238528686482e-01,5.443959956211459339e-01,-1.960744297638625255e+01,2.284152996827230192e-02
-1.061250000000000027e+00,9.418122044130418091e-01,5.437555297439445878e-01,-1.956126440805839195e+01,2.272900538152872879e-02
-1.060000000000000053e+00,9.407028849732149700e-01,5.431150638667432418e-01,-1.951514019943427414e+01,2.261875401875976938e-02
-1.058750000000000080e+00,9.395935655333880199e-01,5.424745979895418957e-01,-1.946907035051389201e+01,2.251077587996541673e-02
-1.057500000000000107e+00,9.384842460935611808e-01,5.418341321123405496e-01,-1.942305486129725267e+01,2.240507096514569169e-02
-1.056250000000000133e+00,9.373749266537343416e-01,5.411936662351392036e-01,-1.937709373178435968e+01,2.230163927430058035e-02
-1.055000000000000160e+00,9.362656072139073915e-01,5.405532003579379685e-01,-1.933118696197519881e+01,2.220048080743008967e-02
-1.053749999999999964e+00,9.351562877740803303e-01,5.399127344807365114e-01,-1.928533455186978074e+01,2.210159556453419882e-02
-1.052499999999999991e+00,9.340469683342534912e-01,5.392722686035351654e-01,-1.923953650146810190e+01,2.200498354561294251e-02
-1.051250000000000018e+00,9.329376488944265411e-01,5.386318027263338193e-01,-1.919379281077016586e+01,2.191064475066629991e-02
-1.050000000000000044e+00,9.318283294545997020e-01,5.379913368491324732e-01,-1.914810347977597615e+01,2.181857917969427796e-02
-1.048750000000000071e+00,9.307190100147727518e-01,5.373508709719311272e-01,-1.910246850848551858e+01,2.172878683269686972e-02
-1.047500000000000098e+00,9.296096905749459127e-01,5.367104050947297811e-01,-1.905688789689881091e+01,2.164126770967408908e-02
-1.046250000000000124e+00,9.285003711351190736e-01,5.360699392175284350e-01,-1.901136164501584247e+01,2.155602181062592215e-02
